L1 = Terminal Pathway,Splay,L2,L3,L4
poly(ribitol phosphate) wall teichoic acid biosynthesis II (S. aureus),L2A,Teichoic Acid Biosynthesis (7 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
polyacyltrehalose biosynthesis,L2A,Glycolipid Biosynthesis (8 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
polybrominated biphenyls and diphenyl ethers biosynthesis,L2A,Halogenated Aromatic Compound Biosynthesis (8 instances),Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances)
polybrominated dihydroxylated diphenyl ethers biosynthesis,L2A,Halogenated Aromatic Compound Biosynthesis (8 instances),Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances)
polybrominated phenols biosynthesis,L2A,Halogenated Aromatic Compound Biosynthesis (8 instances),Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances)
polyethylene terephthalate degradation,L2A,Polymeric Compound Degradation (52 instances),Degradation/Utilization/Assimilation (1104 instances),NA
polyhydroxybutanoate biosynthesis,L2A,Storage Compound Biosynthesis (5 instances),Biosynthesis (1993 instances),NA
polyhydroxydecanoate biosynthesis,L2A,Storage Compound Biosynthesis (5 instances),Biosynthesis (1993 instances),NA
Polyketide Alkaloid Biosynthesis (0 instances),L2A,Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances),Secondary Metabolite Biosynthesis (911 instances)
Polyketide Biosynthesis (42 instances),L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
Polyketide Degradation (0 instances),L2A,Secondary Metabolite Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances),NA
Polymeric Compound Degradation (52 instances),L2A,Degradation/Utilization/Assimilation (1104 instances),NA,NA
polymethylated kaempferol biosynthesis,L2A,Flavonol Biosynthesis (32 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
polymethylated myricetin biosynthesis (tomato),L2A,Flavonol Biosynthesis (32 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
polymethylated quercetin biosynthesis,L2A,Flavone Biosynthesis (15 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium),L2A,Flavonol Biosynthesis (32 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium),L2A,Flavonol Biosynthesis (32 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
polymyxin A biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
polyphosphate metabolism,L2A,Phosphorus Compound Metabolism (19 instances),Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances)
Polyprenyl Biosynthesis (18 instances),L2A,Biosynthesis (1993 instances),NA,NA
Polyterpenoid Biosynthesis (1 instances),L2A,Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
Polyunsaturated Fatty Acid Biosynthesis (29 instances),L2A,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
polyvinyl alcohol degradation,L2A,Alcohol Degradation (20 instances),Degradation/Utilization/Assimilation (1104 instances),NA
ponciretin biosynthesis,L2A,Flavanone Biosynthesis (5 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
Porphyrin Compound Biosynthesis (37 instances),L2A,Tetrapyrrole Biosynthesis (39 instances),Biosynthesis (1993 instances),NA
ppGpp metabolism,L2A,Metabolic Regulator Biosynthesis (36 instances),Biosynthesis (1993 instances),NA
pregnenolone biosynthesis,L2A,Hormone Biosynthesis (68 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
Prenylflavonoid Biosynthesis (2 instances),L2A,Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
preQ0 biosynthesis,L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
Primary Cell Wall (3 instances),L2A,Plant Cell Structures (10 instances),Cell Structure Biosynthesis (104 instances),Biosynthesis (1993 instances)
Proanthocyanidin Biosynthesis (1 instances),L2A,Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
proanthocyanidins biosynthesis from flavanols,L2A,Proanthocyanidin Biosynthesis (1 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
procollagen hydroxylation and glycosylation,L2A,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
prodigiosin biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
progesterone biosynthesis,L2A,Hormone Biosynthesis (68 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
proline betaine degradation I,L2A,L-Proline Betaine Degradation (2 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
proline betaine degradation II,L2A,L-Proline Betaine Degradation (2 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
Propane Degradation (2 instances),L2A,Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances),NA
propane degradation I,L2A,Propane Degradation (2 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
propane degradation II,L2A,Propane Degradation (2 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
propanethial S-oxide biosynthesis,L2A,Sulfur-Containing Secondary Compound Biosynthesis (13 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
Propanoate Degradation (4 instances),L2A,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
propanoate fermentation to 2-methylbutanoate,L2A,Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances)
propanoyl CoA degradation I,L2A,Propanoate Degradation (4 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
propanoyl-CoA degradation II,L2A,Propanoate Degradation (4 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
propene degradation,L2A,Alkene Degradation (4 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
protective electron sinks in the thylakoid membrane (PSII to PTOX),L2A,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
Protein Degradation (1 instances),L2A,Degradation/Utilization/Assimilation (1104 instances),NA,NA
Protein Modification (41 instances),L2A,Macromolecule Modification (64 instances),NA,NA
protein NEDDylation,L2A,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
protein Pupylation and dePupylation,L2A,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
protein S-nitrosylation and denitrosylation,L2A,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
protein SAMPylation and SAMP-mediated thiolation,L2A,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
protein ubiquitination,L2A,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
Proteinogenic Amino Acid Biosynthesis (89 instances),L2A,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances),NA
Proteinogenic Amino Acid Degradation (113 instances),L2A,Amino Acid Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances),NA
Protocatechuate Degradation (3 instances),L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
protocatechuate degradation I (meta-cleavage pathway),L2A,Protocatechuate Degradation (3 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
protocatechuate degradation II (ortho-cleavage pathway),L2A,Protocatechuate Degradation (3 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
protocatechuate degradation III (para-cleavage pathway),L2A,Protocatechuate Degradation (3 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
PRPP biosynthesis,L2A,Sugar Phosphate Biosynthesis (1 instances),Sugar Biosynthesis (107 instances),Carbohydrate Biosynthesis (228 instances)
prunasin and amygdalin biosynthesis,L2A,Cyanogenic Glucoside Biosynthesis (7 instances),Nitrogen-Containing Glucoside Biosynthesis (18 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)
pseudomonine biosynthesis,L2A,Siderophore and Metallophore Biosynthesis (29 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
pseudouridine degradation,L2A,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
psilocybin biosynthesis,L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
pterostilbene biosynthesis,L2A,Stilbene Biosynthesis (3 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
pulcherrimin biosynthesis,L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
punicate biosynthesis,L2A,Conjugated Fatty Acid Biosynthesis (4 instances),Polyunsaturated Fatty Acid Biosynthesis (29 instances),Unsaturated Fatty Acid Biosynthesis (60 instances)
Purine Alkaloid Biosynthesis (4 instances),L2A,Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances),Secondary Metabolite Biosynthesis (911 instances)
purine deoxyribonucleosides degradation I,L2A,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
purine deoxyribonucleosides degradation II,L2A,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
Purine Nucleotide Biosynthesis (33 instances),L2A,Nucleoside and Nucleotide Biosynthesis (57 instances),Biosynthesis (1993 instances),NA
Purine Nucleotide De Novo Biosynthesis (16 instances),L2A,Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),Biosynthesis (1993 instances)
Purine Nucleotide Degradation (16 instances),L2A,Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances),NA
Purine Nucleotide Salvage (13 instances),L2A,Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),Biosynthesis (1993 instances)
purine ribonucleosides degradation,L2A,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
Purine Riboucleotide De Novo Biosynthesis (5 instances),L2A,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
puromycin biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
putrebactin biosynthesis,L2A,Siderophore and Metallophore Biosynthesis (29 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
Putrescine Biosynthesis (4 instances),L2A,Amine and Polyamine Biosynthesis (38 instances),Biosynthesis (1993 instances),NA
putrescine biosynthesis I,L2A,Putrescine Biosynthesis (4 instances),Amine and Polyamine Biosynthesis (38 instances),Biosynthesis (1993 instances)
putrescine biosynthesis II,L2A,Putrescine Biosynthesis (4 instances),Amine and Polyamine Biosynthesis (38 instances),Biosynthesis (1993 instances)
putrescine biosynthesis III,L2A,Putrescine Biosynthesis (4 instances),Amine and Polyamine Biosynthesis (38 instances),Biosynthesis (1993 instances)
Putrescine Degradation (5 instances),L2A,Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances),NA
putrescine degradation I,L2A,Putrescine Degradation (5 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
putrescine degradation II,L2A,Putrescine Degradation (5 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
putrescine degradation III,L2A,Putrescine Degradation (5 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
putrescine degradation IV,L2A,Putrescine Degradation (5 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
putrescine degradation V,L2A,Putrescine Degradation (5 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
pyochelin biosynthesis,L2A,Siderophore and Metallophore Biosynthesis (29 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
pyocyanin biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
pyoluteorin biosynthesis,L2A,Halogenated Aromatic Compound Biosynthesis (8 instances),Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances)
pyoverdine I biosynthesis,L2A,Siderophore and Metallophore Biosynthesis (29 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
pyrethrin I biosynthesis,L2A,Insecticide Biosynthesis (4 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
Pyrimidine Deoxyribonucleoside Degradation (2 instances),L2A,Pyrimidine Nucleotide Degradation (13 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
pyrimidine deoxyribonucleosides degradation,L2A,Pyrimidine Deoxyribonucleoside Degradation (2 instances),Pyrimidine Nucleotide Degradation (13 instances),Nucleoside and Nucleotide Degradation (40 instances)
pyrimidine deoxyribonucleosides salvage,L2A,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
Pyrimidine Nucleobase Degradation (5 instances),L2A,Pyrimidine Nucleotide Degradation (13 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
pyrimidine nucleobases salvage I,L2A,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
Pyrimidine Nucleotide Biosynthesis (23 instances),L2A,Nucleoside and Nucleotide Biosynthesis (57 instances),Biosynthesis (1993 instances),NA
