"","L1...Terminal.Pathway","L3","L4","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"4555","nitroglycerin degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Degradation/Utilization/Assimilation - Other (28 instances)",NA,NA,NA,NA,NA,NA
"4556","Nitrotoluene Degradation (4 instances)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitroaromatic Compound Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"4557","nocardicin A biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"4558","Non-Protein Amino Acid Biosynthesis (6 instances)","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"4559","nonaprenyl diphosphate biosynthesis I","Polyprenyl Biosynthesis (18 instances)","Biosynthesis (1993 instances)","All-trans Polyprenyl Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"4560","nonaprenyl diphosphate biosynthesis II","Polyprenyl Biosynthesis (18 instances)","Biosynthesis (1993 instances)","All-trans Polyprenyl Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"4561","nopaline degradation","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)",NA,NA,NA,NA,NA,NA
"4562","noradrenaline and adrenaline degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Hormone Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"4563","Norlignan Biosynthesis (1 instances)","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"4564","norspermidine biosynthesis","Biosynthesis (1993 instances)",NA,"Amine and Polyamine Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"4565","noscapine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"4566","notoamide C and D biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"4567","Nucleic Acid Processing (21 instances)",NA,NA,"Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA,NA
"4568","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"4569","Nucleoside and Nucleotide Degradation (40 instances)",NA,NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"4570","nucleoside and nucleotide degradation (archaea)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Nucleoside and Nucleotide Degradation (40 instances)",NA,NA,NA,NA,NA,NA
"4571","nylon-6 oligomer degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Degradation/Utilization/Assimilation - Other (28 instances)",NA,NA,NA,NA,NA,NA
"4572","nystatin biosynthesis","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Macrolide Antibiotic Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"4573","o-diquinones biosynthesis","Biosynthesis (1993 instances)",NA,"Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"4574","octane oxidation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Degradation/Utilization/Assimilation - Other (28 instances)",NA,NA,NA,NA,NA,NA
"4575","octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"4576","octaprenyl diphosphate biosynthesis","Polyprenyl Biosynthesis (18 instances)","Biosynthesis (1993 instances)","All-trans Polyprenyl Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"4577","octopamine biosynthesis","Biosynthesis (1993 instances)",NA,"Amine and Polyamine Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"4578","octopine degradation","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)",NA,NA,NA,NA,NA,NA
"4579","odd iso-branched-chain fatty acid biosynthesis","Fatty Acid Biosynthesis (92 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Branched Fatty Acid Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"4580","oleandomycin activation/inactivation","Activation/Inactivation/Interconversion (53 instances)",NA,"Interconversions (22 instances)",NA,NA,NA,NA,NA,NA
"4581","oleandomycin biosynthesis","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Macrolide Antibiotic Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"4582","oleanolate biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"4583","oleate beta-oxidation","Fatty Acid and Lipid Degradation (57 instances)","Degradation/Utilization/Assimilation (1104 instances)","Fatty Acid Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"4584","oleate beta-oxidation (isomerase-dependent, yeast)","Fatty Acid and Lipid Degradation (57 instances)","Degradation/Utilization/Assimilation (1104 instances)","Fatty Acid Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"4585","oleate beta-oxidation (reductase-dependent, yeast)","Fatty Acid and Lipid Degradation (57 instances)","Degradation/Utilization/Assimilation (1104 instances)","Fatty Acid Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"4586","oleate beta-oxidation (thioesterase-dependent, yeast)","Fatty Acid and Lipid Degradation (57 instances)","Degradation/Utilization/Assimilation (1104 instances)","Fatty Acid Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"4587","Oleate Biosynthesis (4 instances)","Fatty Acid Biosynthesis (92 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"4588","oleate biosynthesis I (plants)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Fatty Acid Biosynthesis (92 instances)","Oleate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"4589","oleate biosynthesis II (animals and fungi)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Fatty Acid Biosynthesis (92 instances)","Oleate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"4590","oleate biosynthesis III (cyanobacteria)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Fatty Acid Biosynthesis (92 instances)","Oleate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"4591","oleate biosynthesis IV (anaerobic)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Fatty Acid Biosynthesis (92 instances)","Oleate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"4592","Olefin Biosynthesis (6 instances)","Biosynthesis (1993 instances)",NA,"Carbohydrate Biosynthesis (228 instances)",NA,NA,NA,NA,NA,NA
"4593","oleoresin monoterpene volatiles biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Monoterpenoid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"4594","oleoresin sesquiterpene volatiles biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"4595","oligomeric urushiol biosynthesis","Biosynthesis (1993 instances)",NA,"Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"4596","Oligosaccharide Biosynthesis (9 instances)","Biosynthesis (1993 instances)",NA,"Carbohydrate Biosynthesis (228 instances)",NA,NA,NA,NA,NA,NA
"4597","olivetol biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Terpenophenolic Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"4598","omega-sulfo-II-dihydromenaquinone-9 biosynthesis","Electron Carrier Biosynthesis (99 instances)","Carrier Biosynthesis (137 instances)","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"4599","omphalotin biosynthesis","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)","Antibiotic degradation (3 instances)",NA,NA,NA,NA,NA,NA
"4600","ophiobolin F biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"4601","ophthalmate biosynthesis","Biosynthesis (1993 instances)",NA,"Other Biosynthesis (18 instances)",NA,NA,NA,NA,NA,NA
"4602","orcinol degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4603","Organic Solute Biosynthesis (25 instances)","Biosynthesis (1993 instances)",NA,"Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA
"4604","ornithine lipid biosynthesis","Biosynthesis (1993 instances)",NA,"Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"4605","orthanilate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4606","oryzalexin A, B, and C biosynthesis","Phytoalexin Biosynthesis (38 instances)","Toxin Biosynthesis (205 instances)","Terpenoid Phytoalexin Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"4607","oryzalexin D and E biosynthesis","Phytoalexin Biosynthesis (38 instances)","Toxin Biosynthesis (205 instances)","Terpenoid Phytoalexin Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"4608","Other (5 instances)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"4609","Other Amino Acid Biosynthesis (24 instances)","Biosynthesis (1993 instances)",NA,"Amino Acid Biosynthesis (124 instances)",NA,NA,NA,NA,NA,NA
"4610","Other Amino Acid Degradation (14 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Amino Acid Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"4611","Other Biosynthesis (18 instances)",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"4612","oxalate biosynthesis","Biosynthesis (1993 instances)",NA,"Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"4613","Oxalate Degradation (6 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"4614","oxalate degradation I","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Oxalate Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"4615","oxalate degradation II","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Oxalate Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"4616","oxalate degradation III","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Oxalate Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"4617","oxalate degradation IV","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Oxalate Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"4618","oxalate degradation V","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Oxalate Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"4619","oxalate degradation VI","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Oxalate Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"4620","p-cumate degradation to 2-hydroxypentadienoate","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4621","p-cymene degradation to p-cumate","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4622","p-HBAD biosynthesis","Biosynthesis (1993 instances)",NA,"Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"4623","paerucumarin biosynthesis","Biosynthesis (1993 instances)",NA,"Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"4624","palmatine biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"4625","Palmitate Biosynthesis (3 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"4626","palmitate biosynthesis (type II fatty acid synthase)","Fatty Acid Biosynthesis (92 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","palmitate biosynthesis (type II fatty acid synthase)",NA,NA,NA,NA,NA,NA
"4627","palmitate biosynthesis I (type I fatty acid synthase)","Fatty Acid Biosynthesis (92 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Palmitate Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"4628","palmitate biosynthesis II (type II fatty acid synthase)","Fatty Acid Biosynthesis (92 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Palmitate Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"4629","palmitate biosynthesis III","Fatty Acid Biosynthesis (92 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Palmitate Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"4630","Palmitoleate Biosynthesis (4 instances)","Fatty Acid Biosynthesis (92 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"4631","palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Fatty Acid Biosynthesis (92 instances)","Palmitoleate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"4632","palmitoleate biosynthesis II (plants and bacteria)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Fatty Acid Biosynthesis (92 instances)","Palmitoleate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"4633","palmitoleate biosynthesis III (cyanobacteria)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Fatty Acid Biosynthesis (92 instances)","Palmitoleate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"4634","palmitoleate biosynthesis IV (fungi and animals)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Fatty Acid Biosynthesis (92 instances)","Palmitoleate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"4635","palmitoyl ethanolamide biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"4636","palustric acid biosynthesis","Diterpenoid Biosynthesis (44 instances)","Terpenoid Biosynthesis (203 instances)","Resin Acid Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"4637","papaverine biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"4638","paraoxon degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4639","parathion degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"4640","parkeol biosynthesis","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Sterol Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"4641","Paromamine Biosynthesis (2 instances)","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"4642","paromamine biosynthesis I","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Paromamine Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"4643","paromamine biosynthesis II","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)","Paromamine Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"4644","paromomycin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"4645","partial TCA cycle (obligate autotrophs)","Generation of Precursor Metabolites and Energy (240 instances)",NA,"TCA cycle (9 instances)",NA,NA,NA,NA,NA,NA
"4646","paspaline biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"4647","patchoulol biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"4648","patellamide A and C biosynthesis","Degradation/Utilization/Assimilation (1104 instances)",NA,"Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"4649","patulin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"4650","paxilline and diprenylpaxilline biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
